"Reaction"	"Enzymes of a reaction"
UDPMANACATRANS-RXN	GCQD-3913-MONOMER
RXN-9550	GCQD-631-MONOMER
RXN-14478	GCQD-736-MONOMER
THIOREDOXIN-REDUCT-NADPH-RXN	GCQD-1091-MONOMER
MANNONDEHYDRAT-RXN	GCQD-4453-MONOMER
3-OXOACYL-ACP-SYNTH-BASE-RXN	GCQD-1292-MONOMER // GCQD-2456-MONOMER
ADENINE-DEAMINASE-RXN	GCQD-3783-MONOMER
BIOTINLIG-RXN	GCQD-4107-MONOMER
RXN0-4341	GCQD-3147-MONOMER
ENOYL-ACP-REDUCT-NADPH-RXN	GCQD-1465-MONOMER
URPHOS-RXN	GCQD-3962-MONOMER // GCQD-524-MONOMER
RXN-10462	GCQD-4174-MONOMER
RXN-14523	GCQD-4188-MONOMER
RXN-11480	GCQD-1290-MONOMER // GCQD-4341-MONOMER
MHPELY-RXN	GCQD-492-MONOMER
RXN-9524	GCQD-1290-MONOMER // GCQD-4341-MONOMER
AIRS-RXN	GCQD-2605-MONOMER
RXN-9555	GCQD-631-MONOMER
RXN-9655	GCQD-356-MONOMER // GCQD-1157-MONOMER
RXN-14810	GCQD-1132-MONOMER // GCQD-423-MONOMER
NAPHTHOATE-SYN-RXN	GCQD-2397-MONOMER
ALTRO-OXIDOREDUCT-RXN	GCQD-1676-MONOMER
RXN0-5122	GCQD-3723-MONOMER
RXN-15122	GCQD-3890-MONOMER // GCQD-3210-MONOMER
OHBUTYRYL-COA-EPIM-RXN	GCQD-3981-MONOMER // GCQD-2473-MONOMER
ARGSUCCINLYA-RXN	GCQD-4094-MONOMER
RXN0-5189	GCQD-3634-MONOMER
RXN-15298	GCQD-4015-MONOMER
PANTETHEINE-KINASE-RXN	GCQD-4108-MONOMER
ATPPHOSPHORIBOSYLTRANS-RXN	GCQD-2129-MONOMER
RXN0-5226	GCQD-1304-MONOMER
PHENDEHYD-RXN	GCQD-1557-MONOMER
CARNDETRU-RXN	GCQD-218-MONOMER
RXN0-5329	GCQD-4440-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-16665	GCQD-1128-MONOMER
RXN-16937	GCQD-2444-MONOMER
RXN0-5395	GCQD-3175-MONOMER
PNPOXI-RXN	GCQD-1806-MONOMER
CROBETREDUCT-RXN	GCQD-221-MONOMER
RXN-17776	GCQD-3981-MONOMER // GCQD-2473-MONOMER
DALADALALIG-RXN	GCQD-271-MONOMER // GCQD-514-MONOMER
RXN0-6444	GCQD-1215-MONOMER
PSEUDOURIDINE-KINASE-RXN	GCQD-2302-MONOMER
DEOXYRIBOSE-P-ALD-RXN	GCQD-4522-MONOMER
RXN-17944	GCQD-300-MONOMER
QUINOPRIBOTRANS-RXN	GCQD-286-MONOMER
DIHYDROFOLATESYNTH-RXN	GCQD-2448-MONOMER
RXN-18710	CPLXCQD-10460
RXN0-6565	CPLXCQD-7712
RIB5PISOM-RXN	GCQD-2969-MONOMER // GCQD-4223-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
DTDPDEHYDRHAMEPIM-RXN	GCQD-2152-MONOMER // GCQD-1132-MONOMER // GCQD-423-MONOMER
RXN-19630	GCQD-3620-MONOMER
RXN0-6733	GCQD-4228-MONOMER
RXN-10015	""
ERYTH4PDEHYDROG-RXN	GCQD-2982-MONOMER
RXN-20680	GCQD-1490-MONOMER
RXN-11109	GCQD-1520-MONOMER // GCQD-3898-MONOMER
