repl,seqtype,line,target_id,est_counts,eff_length,length,tpm,subgroup,mix1.conc.attomols.ul,mix2.conc.attomols.ul,expected.fc.ratio,log2(mix1.over.mix2),dilution,amount.added,molecules_of_seq
rep2,ribo,Ara-1,ERC_00031,0,1114,1138,0,B,1.83105469,1.83105469,1,0,10,0.498,54913.810219018626
rep2,ribo,Ara-1,ERC_00033,0,1998,2022,0,A,1.83105469,0.45776367,4,2,10,0.498,54913.810219018626
rep2,ribo,Ara-1,ERC_00034,2,995,1019,0.27637986420497995,B,7.32421875,7.32421875,1,0,10,0.498,219655.24057617193
rep2,ribo,Ara-1,ERC_00035,10,1106,1130,1.243209606166162,B,117.1875,117.1875,1,0,10,0.498,3514483.849218751
rep2,ribo,Ara-1,ERC_00039,0,716,740,0,C,3.66210938,5.49316406,0.67,-0.58,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00040,0,720,744,0,C,0.91552734,1.37329102,0.67,-0.58,10,0.498,27456.904959558007
rep2,ribo,Ara-1,ERC_00041,0,1098,1122,0,D,0.22888184,0.45776367,0.5,-1,10,0.498,6864.226389840811
rep2,ribo,Ara-1,ERC_00042,21,999,1023,2.8903690002818094,B,468.75,468.75,1,0,10,0.498,14057935.396875003
rep2,ribo,Ara-1,ERC_00043,54,999,1023,7.432377429296082,D,468.75,937.5,0.5,-1,10,0.498,14057935.396875003
rep2,ribo,Ara-1,ERC_00044,7,1132,1156,0.8502587253479174,C,117.1875,175.78125,0.67,-0.58,10,0.498,3514483.849218751
rep2,ribo,Ara-1,ERC_00046,120,498,522,33.13228492577771,D,3750,7500,0.5,-1,10,0.498,112463483.17500003
rep2,ribo,Ara-1,ERC_00048,0,968,992,0,D,0.01430512,0.02861023,0.5,-1,10,0.498,429.01429931636164
rep2,ribo,Ara-1,ERC_00051,0,250,274,0,B,58.59375,58.59375,1,0,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00053,5,999,1023,0.6881830953051926,B,29.296875,29.296875,1,0,10,0.498,878620.9623046877
rep2,ribo,Ara-1,ERC_00054,0,250,274,0,C,14.6484375,21.9726563,0.67,-0.58,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00057,0,997,1021,0,C,0.01430512,0.02145767,0.67,-0.58,10,0.498,429.01429931636164
rep2,ribo,Ara-1,ERC_00058,0,1112,1136,0,C,1.83105469,2.74658203,0.67,-0.58,10,0.498,54913.810219018626
rep2,ribo,Ara-1,ERC_00059,0,501,525,0,D,14.6484375,29.296875,0.5,-1,10,0.498,439310.48115234385
rep2,ribo,Ara-1,ERC_00060,9,499,523,2.479941567089775,B,234.375,234.375,1,0,10,0.498,7028967.698437502
rep2,ribo,Ara-1,ERC_00061,0,1112,1136,0,D,0.05722046,0.11444092,0.5,-1,10,0.498,1716.0565974602027
rep2,ribo,Ara-1,ERC_00062,0,999,1023,0,A,58.59375,14.6484375,4,2,10,0.498,1757241.9246093754
rep2,ribo,Ara-1,ERC_00067,0,620,644,0,B,3.66210938,3.66210938,1,0,10,0.498,109827.62043803725
rep2,ribo,Ara-1,ERC_00069,0,1113,1137,0,D,1.83105469,3.66210938,0.5,-1,10,0.498,54913.810219018626
