NAME,ASSOCIATION,EXPERIMENT,line,repl,LOCATION,POSITION,SHAPE,SHAPE.area,SHAPE.length,SHAPE.perimeter,SHAPE.width.mean,ZSCORE,volume,mutator,age
b130,0,Lenski strains,Ara-1,1,(x=24.40 y=55.23),5,1,3.584105,3.7808783,8.618875,1.0257324,6.5016174,2.082857068430191,FALSE,young
b132,0,Lenski strains,Ara-1,1,(x=40.48 y=102.34),5,1,3.4199517,3.596014,8.290315,1.024883,6.5310526,1.9777371663939871,FALSE,young
b133,0,Lenski strains,Ara-1,1,(x=43.17 y=75.72),5,1,4.263832,4.480298,10.0353565,1.0143764,6.379236,2.4138139720403693,FALSE,young
b134,0,Lenski strains,Ara-1,1,(x=55.58 y=42.94),5,1,3.2306054,3.6358058,8.297603,0.950894,6.3597455,1.7213275295511767,FALSE,young
b135,0,Lenski strains,Ara-1,1,(x=58.96 y=54.57),5,1,2.6883743,2.9188488,6.9522605,1.0009774,6.5096073,1.5312946497433424,FALSE,young
b136,0,Lenski strains,Ara-1,1,(x=60.54 y=108.24),5,1,3.1826782,3.2561567,7.6065063,1.0769817,6.48195,1.977518553491206,FALSE,young
b137,0,Lenski strains,Ara-1,1,(x=63.44 y=92.47),5,1,4.214959,4.228091,9.607798,1.0642315,6.542387,2.5073511883162474,FALSE,young
b138,0,Lenski strains,Ara-1,1,(x=68.70 y=97.06),5,1,3.414847,3.3946266,7.915805,1.103532,6.478922,2.1645144768317794,FALSE,young
b139,0,Lenski strains,Ara-1,1,(x=74.56 y=94.50),5,1,3.0507126,3.1123967,7.3875813,1.0721704,6.575518,1.8733597931354846,FALSE,young
b140,0,Lenski strains,Ara-1,1,(x=77.82 y=5.02),5,1,3.8581157,4.554361,10.075696,0.89045095,6.246231,1.8908021059476674,FALSE,young
b141,0,Lenski strains,Ara-1,1,(x=77.76 y=107.21),5,1,4.0293,4.2751303,9.627893,1.0027591,6.243947,2.2508222624166145,FALSE,young
b142,0,Lenski strains,Ara-1,1,(x=101.11 y=3.09),5,1,4.1845913,4.646369,10.34373,0.9468786,6.2242737,2.181227287599494,FALSE,young
b143,0,Lenski strains,Ara-1,1,(x=101.84 y=123.09),5,1,3.5294187,3.9948537,8.974432,0.94294095,6.299014,1.859809641436832,FALSE,young
